stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
92,B,B,0,True,nonsocial,maro96,0,0,0.0
32,A,A,1,True,nonsocial,maro96,1,0,0.0
12,B,A,1,False,nonsocial,maro96,2,0,0.0
60,B,B,1,True,nonsocial,maro96,3,0,0.0
12,B,A,1,False,nonsocial,maro96,0,1,0.0
60,B,B,1,True,nonsocial,maro96,1,1,0.0
32,A,A,1,True,nonsocial,maro96,2,1,0.0
92,B,B,1,True,nonsocial,maro96,3,1,0.0
92,B,B,1,True,nonsocial,maro96,0,2,0.0
32,A,A,1,True,nonsocial,maro96,1,2,0.0
12,B,A,0,False,nonsocial,maro96,2,2,0.0
60,B,B,1,True,nonsocial,maro96,3,2,0.0
92,B,B,1,True,nonsocial,maro96,0,3,0.0
12,A,A,1,True,nonsocial,maro96,1,3,0.0
32,A,A,1,True,nonsocial,maro96,2,3,0.0
60,B,B,1,True,nonsocial,maro96,3,3,0.0
32,A,A,1,True,nonsocial,maro96,0,4,0.0
12,A,A,1,True,nonsocial,maro96,1,4,0.0
60,B,B,1,True,nonsocial,maro96,2,4,0.0
92,B,B,1,True,nonsocial,maro96,3,4,0.0
92,B,B,1,True,nonsocial,maro96,0,5,0.0
60,B,B,1,True,nonsocial,maro96,1,5,0.0
32,A,A,1,True,nonsocial,maro96,2,5,0.0
12,A,A,1,True,nonsocial,maro96,3,5,0.0
17,A,B,0,False,social,maro96,0,0,1.0
19,B,A,0,False,social,maro96,1,0,1.0
65,B,B,1,True,social,maro96,2,0,1.0
47,A,A,1,True,social,maro96,3,0,1.0
47,A,A,1,True,social,maro96,0,1,1.0
19,B,A,1,False,social,maro96,1,1,1.0
65,B,B,1,True,social,maro96,2,1,1.0
17,B,B,1,True,social,maro96,3,1,1.0
19,B,A,0,False,social,maro96,0,2,1.0
47,A,A,1,True,social,maro96,1,2,1.0
17,B,B,1,True,social,maro96,2,2,1.0
65,B,B,1,True,social,maro96,3,2,1.0
47,A,A,1,True,social,maro96,0,3,1.0
19,A,A,1,True,social,maro96,1,3,1.0
65,B,B,1,True,social,maro96,2,3,1.0
17,B,B,0,True,social,maro96,3,3,1.0
19,A,A,1,True,social,maro96,0,4,1.0
65,B,B,1,True,social,maro96,1,4,1.0
47,A,A,1,True,social,maro96,2,4,1.0
17,B,B,1,True,social,maro96,3,4,1.0
19,A,A,1,True,social,maro96,0,5,1.0
17,B,B,1,True,social,maro96,1,5,1.0
47,A,A,0,True,social,maro96,2,5,1.0
65,B,B,1,True,social,maro96,3,5,1.0
92,B,B,0,True,nonsocial,maro96,0,0,2.0
12,A,A,1,True,nonsocial,maro96,1,0,2.0
60,B,B,1,True,nonsocial,maro96,2,0,2.0
32,A,A,1,True,nonsocial,maro96,3,0,2.0
60,B,B,1,True,nonsocial,maro96,0,1,2.0
12,A,A,1,True,nonsocial,maro96,1,1,2.0
32,A,A,1,True,nonsocial,maro96,2,1,2.0
92,A,B,0,False,nonsocial,maro96,3,1,2.0
92,A,B,0,False,nonsocial,maro96,0,2,2.0
60,B,B,1,True,nonsocial,maro96,1,2,2.0
32,A,A,1,True,nonsocial,maro96,2,2,2.0
12,A,A,1,True,nonsocial,maro96,3,2,2.0
92,B,B,1,True,nonsocial,maro96,0,3,2.0
32,A,A,1,True,nonsocial,maro96,1,3,2.0
60,B,B,0,True,nonsocial,maro96,2,3,2.0
12,A,A,1,True,nonsocial,maro96,3,3,2.0
12,A,A,1,True,nonsocial,maro96,0,4,2.0
92,B,B,1,True,nonsocial,maro96,1,4,2.0
60,A,B,1,False,nonsocial,maro96,2,4,2.0
32,A,A,1,True,nonsocial,maro96,3,4,2.0
12,A,A,1,True,nonsocial,maro96,0,5,2.0
32,A,A,1,True,nonsocial,maro96,1,5,2.0
60,,B,0,False,nonsocial,maro96,2,5,2.0
92,A,B,0,False,nonsocial,maro96,3,5,2.0
19,B,A,0,False,social,maro96,0,0,3.0
65,B,B,1,True,social,maro96,1,0,3.0
47,A,A,1,True,social,maro96,2,0,3.0
17,B,B,1,True,social,maro96,3,0,3.0
47,B,A,1,False,social,maro96,0,1,3.0
65,A,B,0,False,social,maro96,1,1,3.0
17,A,B,1,False,social,maro96,2,1,3.0
19,B,A,0,False,social,maro96,3,1,3.0
47,B,A,0,False,social,maro96,0,2,3.0
19,A,A,1,True,social,maro96,1,2,3.0
65,B,B,1,True,social,maro96,2,2,3.0
17,A,B,0,False,social,maro96,3,2,3.0
47,A,A,0,True,social,maro96,0,3,3.0
17,B,B,1,True,social,maro96,1,3,3.0
65,B,B,1,True,social,maro96,2,3,3.0
19,A,A,1,True,social,maro96,3,3,3.0
19,A,A,0,True,social,maro96,0,4,3.0
17,A,B,0,False,social,maro96,1,4,3.0
47,A,A,1,True,social,maro96,2,4,3.0
65,A,B,0,False,social,maro96,3,4,3.0
47,A,A,1,True,social,maro96,0,5,3.0
17,B,B,1,True,social,maro96,1,5,3.0
65,B,B,0,True,social,maro96,2,5,3.0
19,B,A,0,False,social,maro96,3,5,3.0
