stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
76,A,A,1,True,social,gava97,0,0,0.0
32,B,A,0,False,social,gava97,1,0,0.0
96,A,B,0,False,social,gava97,2,0,0.0
30,A,B,0,False,social,gava97,3,0,0.0
30,,B,0,False,social,gava97,0,1,0.0
96,A,B,0,False,social,gava97,1,1,0.0
32,B,A,0,False,social,gava97,2,1,0.0
76,A,A,1,True,social,gava97,3,1,0.0
76,A,A,1,True,social,gava97,0,2,0.0
96,A,B,0,False,social,gava97,1,2,0.0
30,B,B,1,True,social,gava97,2,2,0.0
32,B,A,1,False,social,gava97,3,2,0.0
32,B,A,0,False,social,gava97,0,3,0.0
76,A,A,1,True,social,gava97,1,3,0.0
96,A,B,0,False,social,gava97,2,3,0.0
30,A,B,0,False,social,gava97,3,3,0.0
32,B,A,0,False,social,gava97,0,4,0.0
96,A,B,0,False,social,gava97,1,4,0.0
76,A,A,1,True,social,gava97,2,4,0.0
30,A,B,0,False,social,gava97,3,4,0.0
30,A,B,0,False,social,gava97,0,5,0.0
32,A,A,1,True,social,gava97,1,5,0.0
76,A,A,1,True,social,gava97,2,5,0.0
96,A,B,0,False,social,gava97,3,5,0.0
21,B,A,0,False,nonsocial,gava97,0,0,1.0
31,B,B,1,True,nonsocial,gava97,1,0,1.0
63,A,B,0,False,nonsocial,gava97,2,0,1.0
81,A,A,1,True,nonsocial,gava97,3,0,1.0
63,B,B,1,True,nonsocial,gava97,0,1,1.0
81,A,A,1,True,nonsocial,gava97,1,1,1.0
31,B,B,1,True,nonsocial,gava97,2,1,1.0
21,A,A,1,True,nonsocial,gava97,3,1,1.0
21,A,A,1,True,nonsocial,gava97,0,2,1.0
63,B,B,1,True,nonsocial,gava97,1,2,1.0
31,B,B,1,True,nonsocial,gava97,2,2,1.0
81,A,A,1,True,nonsocial,gava97,3,2,1.0
63,B,B,1,True,nonsocial,gava97,0,3,1.0
81,A,A,0,True,nonsocial,gava97,1,3,1.0
21,A,A,1,True,nonsocial,gava97,2,3,1.0
31,B,B,1,True,nonsocial,gava97,3,3,1.0
81,A,A,1,True,nonsocial,gava97,0,4,1.0
21,A,A,1,True,nonsocial,gava97,1,4,1.0
31,B,B,1,True,nonsocial,gava97,2,4,1.0
63,B,B,1,True,nonsocial,gava97,3,4,1.0
21,A,A,0,True,nonsocial,gava97,0,5,1.0
31,A,B,0,False,nonsocial,gava97,1,5,1.0
63,B,B,1,True,nonsocial,gava97,2,5,1.0
81,B,A,0,False,nonsocial,gava97,3,5,1.0
76,B,A,0,False,social,gava97,0,0,2.0
30,A,B,0,False,social,gava97,1,0,2.0
32,B,A,0,False,social,gava97,2,0,2.0
96,A,B,0,False,social,gava97,3,0,2.0
32,B,A,0,False,social,gava97,0,1,2.0
30,A,B,0,False,social,gava97,1,1,2.0
96,B,B,0,True,social,gava97,2,1,2.0
76,A,A,1,True,social,gava97,3,1,2.0
76,A,A,1,True,social,gava97,0,2,2.0
32,A,A,1,True,social,gava97,1,2,2.0
30,B,B,1,True,social,gava97,2,2,2.0
96,B,B,1,True,social,gava97,3,2,2.0
30,B,B,1,True,social,gava97,0,3,2.0
32,A,A,1,True,social,gava97,1,3,2.0
96,B,B,1,True,social,gava97,2,3,2.0
76,A,A,1,True,social,gava97,3,3,2.0
30,B,B,1,True,social,gava97,0,4,2.0
32,A,A,1,True,social,gava97,1,4,2.0
76,A,A,1,True,social,gava97,2,4,2.0
96,B,B,1,True,social,gava97,3,4,2.0
76,A,A,1,True,social,gava97,0,5,2.0
96,B,B,1,True,social,gava97,1,5,2.0
30,B,B,1,True,social,gava97,2,5,2.0
32,A,A,1,True,social,gava97,3,5,2.0
31,B,B,1,True,nonsocial,gava97,0,0,3.0
21,B,A,0,False,nonsocial,gava97,1,0,3.0
63,B,B,0,True,nonsocial,gava97,2,0,3.0
81,B,A,0,False,nonsocial,gava97,3,0,3.0
81,B,A,0,False,nonsocial,gava97,0,1,3.0
63,A,B,1,False,nonsocial,gava97,1,1,3.0
31,B,B,1,True,nonsocial,gava97,2,1,3.0
21,A,A,1,True,nonsocial,gava97,3,1,3.0
81,A,A,1,True,nonsocial,gava97,0,2,3.0
63,A,B,1,False,nonsocial,gava97,1,2,3.0
21,A,A,1,True,nonsocial,gava97,2,2,3.0
31,B,B,1,True,nonsocial,gava97,3,2,3.0
21,A,A,1,True,nonsocial,gava97,0,3,3.0
31,B,B,1,True,nonsocial,gava97,1,3,3.0
81,A,A,1,True,nonsocial,gava97,2,3,3.0
63,A,B,0,False,nonsocial,gava97,3,3,3.0
63,B,B,0,True,nonsocial,gava97,0,4,3.0
21,A,A,1,True,nonsocial,gava97,1,4,3.0
81,A,A,1,True,nonsocial,gava97,2,4,3.0
31,B,B,1,True,nonsocial,gava97,3,4,3.0
63,A,B,0,False,nonsocial,gava97,0,5,3.0
81,A,A,1,True,nonsocial,gava97,1,5,3.0
31,B,B,1,True,nonsocial,gava97,2,5,3.0
21,A,A,1,True,nonsocial,gava97,3,5,3.0
