left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,91,A,right,0,1.9819,0,0,0,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,B,left,0,1.6619,0,1,1,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,1.1179,0,2,2,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,1.0215,0,3,3,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,B,left,0,1.5551,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,B,left,0,0.8336,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,A,right,0,1.2674,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,A,right,0,0.9358,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,A,right,0,0.8655,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""B"",""A""],[""A"",""B"",""A"",""B""]]",No,0,0,0,2,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,B,left,0,0.6652,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,veri93,001,2022-05-24_13h00.05.238,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""B"",""A""],[""A"",""B"",""A"",""B""]]",No,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,,
