left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,99,B,left,0,4.0933,0,0,0,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,,,0,,0,1,1,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,A,right,0,3.3533,0,2,2,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,B,left,0,4.1172,0,3,3,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,B,left,0,3.194,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,A,right,0,1.7796,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,A,right,0,3.2405,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,B,left,0,2.0323,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,2.9244,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""B"",""A""]]",No,0,0,0,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,2.0552,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,juzi87,001,2022-05-13_15h59.11.490,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""B"",""A"",""B"",""A""]]",No,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,,,,
