left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,99,A,left,0,1.4859,0,0,0,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,B,right,0,1.4793,0,1,1,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,2.4149,0,2,2,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.9677,0,3,3,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,,,0,,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,B,right,0,1.2502,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,,,0,,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,A,left,0,0.5955,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,1.8194,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""A"",""B""]]",No,0,0,0,2,1,B,,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,1.8179,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""A"",""B""]]",No,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,1.0714,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""A"",""B""]]",No,0,2,2,1,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,1.4043,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,mira97,001,2022-05-11_16h04.22.980,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,3,3,3,1,B,,,,,,,,,,,,,,,,,,,,,
